date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:48:40	178510/178510	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202022%2000:47:20%20GMT	https://bonoxs.com/br/pc?gclid=Cj0KCQiA1sucBhDgARIsAFoytUvBg0f8nZb8mCCE1I7yeOisLNDdW8sORMUk-Cy2uxP3JUrFmFCIOGoaAnq4EALw_wcB	C:/Users/55519/Desktop/robluxzada/sssssssssssssssssassddsadsadsad/bonoxs.com/br/pc55d6.html	(from )
21:48:41	127/127	---M-Z	200	added ('OK')	text/plain	date:Sat,%2010%20Dec%202022%2000:47:20%20GMT	https://bonoxs.com/robots.txt		(from )
21:48:41	102300/102300	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Dec%202022%2000:47:21%20GMT	https://bonoxs.com/br/https	C:/Users/55519/Desktop/robluxzada/sssssssssssssssssassddsadsadsad/bonoxs.com/br/https	(from https://bonoxs.com/br/pc?gclid=Cj0KCQiA1sucBhDgARIsAFoytUvBg0f8nZb8mCCE1I7yeOisLNDdW8sORMUk-Cy2uxP3JUrFmFCIOGoaAnq4EALw_wcB)
21:48:42	6316/6316	---M-Z	200	added ('OK')	text/css	etag:%2263890d32-570%22	https://bonoxs.com/static/version1669926193/base/Magento/base/default/mage/calendar.css	C:/Users/55519/Desktop/robluxzada/sssssssssssssssssassddsadsadsad/bonoxs.com/static/version1669926193/base/Magento/base/default/mage/calendar.css	(from https://bonoxs.com/br/pc?gclid=Cj0KCQiA1sucBhDgARIsAFoytUvBg0f8nZb8mCCE1I7yeOisLNDdW8sORMUk-Cy2uxP3JUrFmFCIOGoaAnq4EALw_wcB)
21:48:42	644793/644793	---M-Z	200	added ('OK')	text/css	etag:%2263890d46-15cb2%22	https://bonoxs.com/static/version1669926193/frontend/BonoxsV1/theme/default/css/styles-m.css	C:/Users/55519/Desktop/robluxzada/sssssssssssssssssassddsadsadsad/bonoxs.com/static/version1669926193/frontend/BonoxsV1/theme/default/css/styles-m.css	(from https://bonoxs.com/br/pc?gclid=Cj0KCQiA1sucBhDgARIsAFoytUvBg0f8nZb8mCCE1I7yeOisLNDdW8sORMUk-Cy2uxP3JUrFmFCIOGoaAnq4EALw_wcB)
21:48:42	123747/123747	---M-Z	200	added ('OK')	text/css	etag:%2263890d42-501f%22	https://bonoxs.com/static/version1669926193/frontend/BonoxsV1/theme/default/css/styles-l.css	C:/Users/55519/Desktop/robluxzada/sssssssssssssssssassddsadsadsad/bonoxs.com/static/version1669926193/frontend/BonoxsV1/theme/default/css/styles-l.css	(from https://bonoxs.com/br/pc?gclid=Cj0KCQiA1sucBhDgARIsAFoytUvBg0f8nZb8mCCE1I7yeOisLNDdW8sORMUk-Cy2uxP3JUrFmFCIOGoaAnq4EALw_wcB)
21:48:42	1199/1199	---M-Z	200	added ('OK')	text/css	etag:%2263890d41-23c%22	https://bonoxs.com/static/version1669926193/frontend/BonoxsV1/theme/default/css/print.css	C:/Users/55519/Desktop/robluxzada/sssssssssssssssssassddsadsadsad/bonoxs.com/static/version1669926193/frontend/BonoxsV1/theme/default/css/print.css	(from https://bonoxs.com/br/pc?gclid=Cj0KCQiA1sucBhDgARIsAFoytUvBg0f8nZb8mCCE1I7yeOisLNDdW8sORMUk-Cy2uxP3JUrFmFCIOGoaAnq4EALw_wcB)
21:48:42	85994/85994	---M-Z	200	added ('OK')	application/javascript	etag:%2263890d33-5291%22	https://bonoxs.com/static/version1669926193/base/Magento/base/default/requirejs/require.js	C:/Users/55519/Desktop/robluxzada/sssssssssssssssssassddsadsadsad/bonoxs.com/static/version1669926193/base/Magento/base/default/requirejs/require.js	(from https://bonoxs.com/br/pc?gclid=Cj0KCQiA1sucBhDgARIsAFoytUvBg0f8nZb8mCCE1I7yeOisLNDdW8sORMUk-Cy2uxP3JUrFmFCIOGoaAnq4EALw_wcB)
21:48:43	5204/5204	---M-Z	200	added ('OK')	application/javascript	etag:%2263890d32-711%22	https://bonoxs.com/static/version1669926193/base/Magento/base/default/mage/requirejs/baseUrlResolver.js	C:/Users/55519/Desktop/robluxzada/sssssssssssssssssassddsadsadsad/bonoxs.com/static/version1669926193/base/Magento/base/default/mage/requirejs/baseUrlResolver.js	(from https://bonoxs.com/br/pc?gclid=Cj0KCQiA1sucBhDgARIsAFoytUvBg0f8nZb8mCCE1I7yeOisLNDdW8sORMUk-Cy2uxP3JUrFmFCIOGoaAnq4EALw_wcB)
21:48:43	146487/146487	---M-Z	200	added ('OK')	application/javascript	etag:%2263890d47-2cbb%22	https://bonoxs.com/static/version1669926193/frontend/BonoxsV1/theme/pt_BR/requirejs-map.js	C:/Users/55519/Desktop/robluxzada/sssssssssssssssssassddsadsadsad/bonoxs.com/static/version1669926193/frontend/BonoxsV1/theme/pt_BR/requirejs-map.js	(from https://bonoxs.com/br/pc?gclid=Cj0KCQiA1sucBhDgARIsAFoytUvBg0f8nZb8mCCE1I7yeOisLNDdW8sORMUk-Cy2uxP3JUrFmFCIOGoaAnq4EALw_wcB)
